id,Methods,Selected Bands
0,BS-Net-Conv,"[46,33,140,161,80,35,178,44,126,36,138,71,180,66,192,16,53,152,185,119,24,28,26,156,83]"
1,SpaBS,"[7, 96, 52, 171, 53, 3, 76, 75, 74, 95, 77, 73, 78, 54, 81,94,88,91,71,72,79,80,55,92,56]"
2,PCA,"[167,74,168,0,147,165,161,162,152,19,160,119,164,159,157,163,158,156,20,154,118,148,153,149,155]"
3,SNMF,"[23,197,198,94,76,2,87,105,143,145,11,84,132,108,28,104,144,34,44,74,71,96,75,171,162]"
4,DABSRecNet,"[154, 12, 112, 88, 133, 127, 158, 13, 113, 51, 152, 125, 30, 58, 126, 168, 95, 32, 75, 31, 82, 22, 142, 86, 123]"
