id,Methods,Selected Bands
0,BS-Net-Conv,"[90, 42, 16, 48, 71, 3, 78, 38, 80, 53, 7, 31, 4, 99, 98]"
1,SpaBS,"[50, 48, 16, 22, 4, 102, 21, 25, 23, 47, 24, 20, 31, 26, 42]"
2,PCA,"[48, 22, 51, 16, 52, 21, 65, 17, 20, 53, 18, 54, 19, 55, 76]"
3,SNMF,"[92, 53, 43, 66, 22, 89, 82, 30, 51, 5, 83, 77, 80, 2, 48]"
4,DABSRecNet,"[93, 14, 38, 50, 68, 95, 59, 5, 72, 6, 52, 60, 99, 25, 12]"
